Submission id,participant_id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Total rejections,Approval rate,age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
62963a55d8cf213284913214,5f516d96bf6cde3b04b94b69,APPROVED,2022-05-31T15:55:01.527000Z,2022-05-31T17:03:34.350000Z,2022-06-01T16:07:32.804000Z,,4113,RNFS5HP5,577,4,99,31,Male,White,Canada,Canada,Canada,English,No,Full-Time
62963a55df8e7a16db705735,5faab9fa1c6cce487d370981,APPROVED,2022-05-31T15:55:01.096000Z,2022-05-31T16:42:53.263000Z,2022-06-01T16:07:32.956000Z,,2873,RNFS5HP5,243,0,100,20,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking)
62963a563aebda212f2e5927,609a54b96c38edbbf5e48251,APPROVED,2022-05-31T15:55:02.581000Z,2022-05-31T16:38:16Z,2022-06-01T16:07:33.166000Z,,2594,RNFS5HP5,150,0,100,21,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
62963a567ee8665a513cf0e1,5f806f22e8159d0913945e35,APPROVED,2022-05-31T15:55:02.268000Z,2022-05-31T16:53:40.512000Z,2022-06-01T16:07:33.343000Z,,3519,RNFS5HP5,145,0,100,28,Male,White,Hungary,Hungary,Hungary,Hungarian,DATA_EXPIRED,DATA_EXPIRED
62963a56c3c73c250f0359af,61278ed955c9c0f27457ae1b,APPROVED,2022-05-31T15:55:06.959000Z,2022-05-31T16:51:30.738000Z,2022-06-01T16:07:33.490000Z,,3384,RNFS5HP5,173,5,97,26,Male,Black,South Africa,South Africa,South Africa,English,No,Other
62963a57533cf7280b0cf8d1,60da187630a6c49f4f44d058,APPROVED,2022-05-31T15:55:03.728000Z,2022-05-31T16:35:58.122000Z,2022-06-01T16:07:33.673000Z,,2455,RNFS5HP5,237,0,100,25,Male,White,Italy,Italy,Italy,Italian,Yes,Due to start a new job within the next month
62963a575fd24b4fc1604f05,60ca0a178a861accb4161f1b,APPROVED,2022-05-31T15:55:03.523000Z,2022-05-31T16:30:21.634000Z,2022-06-01T16:07:33.841000Z,,2119,RNFS5HP5,157,1,100,21,Female,White,Slovenia,Slovenia,Slovenia,Slovenian,Yes,Other
62963a57ab771bd67de16b2d,5c38d25078687a0001db8633,APPROVED,2022-05-31T15:55:05.155000Z,2022-05-31T16:37:15.606000Z,2022-06-01T16:07:33.990000Z,,2531,RNFS5HP5,646,2,100,36,Female,White,Italy,Italy,Italy,Italian,No,Part-Time
62963a57c533080af515cb4f,6069dc93673768fac8822472,APPROVED,2022-05-31T15:55:03.072000Z,2022-05-31T16:32:49.625000Z,2022-06-01T16:07:34.147000Z,,2267,RNFS5HP5,153,3,99,22,Male,White,Poland,Poland,Poland,Polish,Yes,Other
62963a580bb9311948a0d30e,5eea1be10e95520beb9fa654,APPROVED,2022-05-31T15:55:04.271000Z,2022-05-31T16:39:50.169000Z,2022-06-01T16:07:34.382000Z,,2686,RNFS5HP5,1317,3,100,54,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62963a58959f9da4870f051d,5e5aa39b15b8d429d07abfd4,APPROVED,2022-05-31T15:55:09.601000Z,2022-05-31T16:43:34.548000Z,2022-06-01T16:07:34.631000Z,,2905,RNFS5HP5,889,11,98,57,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
62963a58a50ba5c3dbc7b7e1,602f69ce775c55c4b3ceeabb,APPROVED,2022-05-31T15:55:04.037000Z,2022-05-31T16:38:55.334000Z,2022-06-01T16:07:34.822000Z,,2632,RNFS5HP5,234,1,100,20,Male,White,Poland,Poland,Poland,Polish,Yes,Other
62963a5942a62b91101fd533,60c048ca962103e0da201a34,APPROVED,2022-05-31T15:55:09.021000Z,2022-05-31T16:49:59.202000Z,2022-06-01T16:07:34.909000Z,,3291,RNFS5HP5,503,9,99,39,Female,White,United Kingdom,South Africa,United Kingdom,English,No,Other
62963a59a733fbfbd03d6e2a,60087e9189ddb34b79b08be5,APPROVED,2022-05-31T15:55:05.134000Z,2022-05-31T17:47:25.614000Z,2022-06-01T16:07:35.081000Z,,6741,RNFS5HP5,343,0,100,27,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
62963a5a1ad890c42bdce8cd,616ffbfe7b44b1236b1fc24e,APPROVED,2022-05-31T15:55:06.580000Z,2022-05-31T16:37:19.548000Z,2022-06-01T16:07:35.265000Z,,2533,RNFS5HP5,218,5,97,22,Male,Asian,Finland,Finland,Finland,Finnish,Yes,Part-Time
62963a5a33da8c4c7fe6aeff,60ddc6cf3e04111115200984,APPROVED,2022-05-31T15:55:06.405000Z,2022-05-31T16:38:31.048000Z,2022-06-01T16:07:35.358000Z,,2605,RNFS5HP5,227,1,100,54,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
62963a5a9b74c88eef9f08ce,5f7506afbadfcf169784f466,APPROVED,2022-05-31T15:55:06.210000Z,2022-05-31T16:39:13.156000Z,2022-06-01T16:07:35.529000Z,,2647,RNFS5HP5,96,1,99,23,Female,White,Brazil,Portugal,Brazil,Portuguese,No,DATA_EXPIRED
62963a5d1c4ae760993552a4,5d82de0beecd2a000198dd3a,APPROVED,2022-05-31T16:03:46.554000Z,2022-05-31T16:54:28.953000Z,2022-06-01T16:07:35.617000Z,,3043,RNFS5HP5,250,0,100,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
62963a652c0403451c11e4a9,5d3ef33e8da0790017c90e08,APPROVED,2022-05-31T15:55:17.897000Z,2022-05-31T16:34:17.781000Z,2022-06-01T16:07:35.742000Z,,2340,RNFS5HP5,614,1,100,32,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
62963aa708ae0634958744dd,5e57a0020c3c6a14a1624031,APPROVED,2022-05-31T15:56:26.268000Z,2022-05-31T16:36:36.046000Z,2022-06-01T16:07:42.209000Z,,2410,RNFS5HP5,565,2,100,29,Male,White,Hungary,Hungary,Hungary,Hungarian,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
62961f14d5aa9ab83a4e0af0,61112541376220d2cea05e44,APPROVED,2022-05-31T13:58:47.596000Z,2022-05-31T14:38:34.254000Z,2022-06-01T16:07:35.816000Z,,2387,NOCODE,42,1,99,22,Female,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,Full-Time
62961f16cf79b6e3bed2c009,60d6132cd85bce1483291f56,APPROVED,2022-05-31T13:58:46.121000Z,2022-05-31T14:54:07.888000Z,2022-05-31T15:08:00.418000Z,,3322,NOCODE,111,2,97,59,Male,White,South Africa,South Africa,South Africa,Afrikaans,No,Full-Time
62961f1bcf79b6e3bed2c00a,616db113a87ceedca7fbf94a,APPROVED,2022-05-31T13:58:51.985000Z,2022-05-31T14:53:10.272000Z,2022-05-31T15:08:53.087000Z,,3259,NOCODE,69,1,100,21,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
62961f23d9a509d68c26962c,615f30408144b09278b6f958,APPROVED,2022-05-31T13:58:59.610000Z,2022-05-31T14:57:29.401000Z,2022-06-01T16:07:35.955000Z,,3510,NOCODE,77,0,100,24,Female,Black,South Africa,South Africa,South Africa,English,No,DATA_EXPIRED
62961f297abdbbb2cea8dfb5,614e3ca8734f6c8b0bbdcb87,APPROVED,2022-05-31T13:59:18.146000Z,2022-05-31T15:22:04.697000Z,2022-06-01T16:07:36.093000Z,,4967,NOCODE,32,1,99,21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Other
62961f5c93073fa18e8dc966,6163ff503beed553308638c7,APPROVED,2022-05-31T13:59:56.235000Z,2022-05-31T14:40:55.587000Z,2022-06-01T16:07:36.345000Z,,2460,NOCODE,69,3,97,21,Female,White,South Africa,South Africa,South Africa,English,Yes,Part-Time
62961f60e5c831c92efe7d2d,613a9b39928d81d5ce5a3f7c,APPROVED,2022-05-31T14:00:07.332000Z,2022-05-31T15:39:26.860000Z,2022-06-01T16:07:36.433000Z,,5960,NOCODE,62,0,100,27,Female,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Part-Time
62961f94c542861a1d782d2f,6028587755736d18c83410bf,APPROVED,2022-05-31T14:00:57.412000Z,2022-05-31T14:45:24.961000Z,2022-06-01T16:07:36.592000Z,,2668,NOCODE,68,1,100,36,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
62961f9941395c4eb4a461b3,60fbfee6056f2a31423d9c07,APPROVED,2022-05-31T14:01:01.573000Z,2022-05-31T15:11:00.618000Z,2022-06-01T16:07:36.774000Z,,4200,NOCODE,49,0,100,36,Male,White,South Africa,South Africa,South Africa,English,No,Part-Time
62963abb915134118f9e7734,60ef5b1cf52939a80af77543,APPROVED,2022-05-31T15:57:43.517000Z,2022-05-31T16:45:50.832000Z,2022-06-01T16:07:36.895000Z,,2888,RNFS5HP5,292,3,100,19,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Other
62963abcb1d64dccbce8e033,615d5b821a79847e2b342374,APPROVED,2022-05-31T15:56:49.043000Z,2022-05-31T17:11:21.744000Z,2022-06-01T16:07:37.017000Z,,4473,RNFS5HP5,83,2,99,20,Male,White,Hungary,Hungary,Hungary,Hungarian,Yes,Part-Time
