subject,slope,modality
68,0.802594531981771,EE
69,0.219382878765841,EE
70,0.77447702008584,EE
71,0.785867979404657,EE
1,-0.0916666666666664,SP
2,1.46666666666667,SP
3,0.2,SP
4,0.85,SP
5,0.916666666666666,SP
6,0,SP
7,-0.191666666666666,SP
8,9.17306727455841e-17,SP
9,9.17306727455841e-17,SP
10,0.7,SP
11,0.516666666666666,SP
12,1.2,SP
13,0.833333333333333,SP
14,0.65,SP
15,9.17306727455841e-17,SP
16,0.125,SP
17,0.591666666666667,SP
18,0.0833333333333332,SP
19,-0.125,SP
20,0.75,SP
21,0.6,SP
22,0.866666666666666,SP
23,-0.0583333333333333,SP
24,0.45,SP
25,0.383333333333333,SP
26,-0.141666666666666,SP
27,1.13333333333333,SP
28,0.116666666666667,SP
29,0.391666666666666,SP
