subject,exp_num,complete,block,less_cues,score,cond
71,1.2,0,0,0,0.142857142857143,0.1
72,1.2,0,0,0,0,0.1
73,1.2,0,0,0,0.214285714285714,0.1
74,1.2,0,0,0,0.428571428571429,0.1
75,1.2,0,0,0,0,0.1
76,1.2,0,0,0,0.142857142857143,0.1
77,1.2,0,0,0,0.214285714285714,0.1
78,1.2,0,0,0,0.142857142857143,0.1
79,1.2,0,0,0,0.285714285714286,0.1
80,1.2,0,0,0,0.214285714285714,0.1
81,1.2,0,0,0,0.142857142857143,0.1
82,1.2,0,0,0,0.642857142857143,0.1
1,1.2,0,0,0,0.214285714285714,0.2
2,1.2,0,0,0,0.285714285714286,0.2
3,1.2,0,0,0,0.142857142857143,0.2
4,1.2,0,0,0,0.571428571428571,0.2
5,1.2,0,0,0,0.357142857142857,0.2
6,1.2,0,0,0,0.142857142857143,0.2
7,1.2,0,0,0,0.214285714285714,0.2
8,1.2,0,0,0,0.357142857142857,0.2
9,1.2,0,0,0,0,0.2
10,1.2,0,0,0,0.642857142857143,0.2
11,1.2,0,0,0,0.285714285714286,0.2
12,1.2,0,0,0,0.571428571428571,0.2
13,1.2,0,0,0,0.357142857142857,0.2
14,1.2,0,0,0,0.5,0.2
15,1.2,0,0,0,0.571428571428571,0.2
16,1.2,0,0,0,0.214285714285714,0.2
17,1.2,0,0,0,0.0714285714285714,0.2
18,1.2,0,0,0,0.5,0.2
19,1.2,0,0,0,0.357142857142857,0.2
20,1.2,0,0,0,0.571428571428571,0.2
21,1.2,0,0,0,0.214285714285714,0.2
22,1.2,0,0,0,0.0714285714285714,0.2
23,1.2,0,0,0,0.5,0.2
24,1.2,0,0,0,0.142857142857143,0.2
25,1.2,0,0,0,0.357142857142857,0.2
26,1.2,0,0,0,0.142857142857143,0.2
27,1.2,0,0,0,0.357142857142857,0.2
28,1.2,0,0,0,0.285714285714286,0.2
29,1.2,0,0,0,0.428571428571429,0.2
30,1.2,0,0,0,0,0.2
31,1.2,0,0,0,0.642857142857143,0.2
32,1.2,0,0,0,0.214285714285714,0.2
33,1.2,0,0,0,0.285714285714286,0.2
34,1.2,0,0,0,0.285714285714286,0.2
35,1.2,0,0,0,0.214285714285714,0.2
36,1.2,0,0,0,0.214285714285714,0.2
37,1.2,0,0,0,0.285714285714286,0.2
38,1.2,0,0,0,0.214285714285714,0.2
39,1.2,0,0,0,0.0714285714285714,0.2
40,1.2,0,0,0,0.142857142857143,0.2
